iter	Logloss
0	0.6920527408
1	0.6911206697
2	0.690139369
3	0.6891925209
4	0.6883588289
5	0.6873641165
6	0.6872639706
7	0.6864476254
8	0.6849820589
9	0.6835877268
10	0.6827262477
11	0.6826716373
12	0.6818476627
13	0.6811058446
14	0.6801335385
15	0.6789683292
16	0.6781156841
17	0.6771888331
18	0.6765151174
19	0.6756138852
20	0.6747990658
21	0.6735739457
22	0.6726317556
23	0.6715913873
24	0.6701772589
25	0.6691183391
26	0.6681658695
27	0.6674498307
28	0.6667289734
29	0.6658727144
30	0.6649817216
31	0.6641669826
32	0.6633554559
33	0.6626438342
34	0.6614857724
35	0.6604970832
36	0.6592621653
37	0.658174053
38	0.6575458326
39	0.656848787
40	0.6559672707
41	0.6554907548
42	0.6547961586
43	0.653842404
44	0.6528423912
45	0.6519259804
46	0.6512948287
47	0.6503344887
48	0.6502750598
49	0.6492847643
50	0.648739865
51	0.6480534604
52	0.6471516258
53	0.6467926828
54	0.645988384
55	0.6450505307
56	0.6441627101
57	0.6436536689
58	0.6428878784
59	0.6422386571
60	0.641458692
61	0.6407912003
62	0.6400016383
63	0.639149957
64	0.6387352391
65	0.6382191708
66	0.6374856648
67	0.6368765982
68	0.6363344694
69	0.6353632074
70	0.6349380493
71	0.6339651007
72	0.6330502159
73	0.6325659501
74	0.6315912347
75	0.6308201037
76	0.6301131399
77	0.6298386423
78	0.6293133384
79	0.6287186472
80	0.6279904014
81	0.6272506312
82	0.6265797264
83	0.6257054379
84	0.6252210918
85	0.6245852822
86	0.6236564235
87	0.6233328167
88	0.6227802477
89	0.6220870169
90	0.6213115491
91	0.6205360814
92	0.6196862873
93	0.6188862851
94	0.6183575279
95	0.6175622237
96	0.6169370952
97	0.6164814999
98	0.6156759162
99	0.6149462248
100	0.6142371328
101	0.6136174252
102	0.6128928737
103	0.6120102732
104	0.6112661261
105	0.6105940969
106	0.6100138213
107	0.6088353207
108	0.6080101415
109	0.6072567588
110	0.6064378437
111	0.6054749338
112	0.604388227
113	0.6038387901
114	0.6031200208
115	0.6023901688
116	0.6014977706
117	0.6005587929
118	0.5999713295
119	0.5992087113
120	0.5982865183
121	0.5971549586
122	0.5968172174
123	0.5961872302
124	0.5955661171
125	0.5950721741
126	0.5945196051
127	0.593976071
128	0.5931431017
129	0.5923448261
130	0.5918203253
131	0.5908358524
132	0.5900925486
133	0.589375265
134	0.5886827569
135	0.5879076908
136	0.5870948792
