iter	Passed	Remaining
0	174	174690
1	181	90552
2	190	63296
3	199	49768
4	208	41568
5	219	36337
6	224	31850
7	234	29111
8	245	27081
9	255	25258
10	263	23705
11	266	21980
12	274	20805
13	281	19819
14	288	18970
15	295	18151
16	302	17486
17	309	16886
18	317	16395
19	323	15871
20	330	15420
21	337	14983
22	342	14531
23	347	14124
24	352	13734
25	357	13400
26	361	13010
27	365	12689
28	370	12398
29	374	12117
30	378	11828
31	381	11532
32	384	11268
33	388	11023
34	391	10793
35	395	10590
36	398	10380
37	403	10202
38	407	10029
39	411	9878
40	415	9726
41	419	9564
42	422	9412
43	426	9274
44	430	9130
45	434	9001
46	438	8883
47	441	8756
48	443	8601
49	447	8495
50	450	8389
51	454	8283
52	457	8171
53	461	8083
54	465	7994
55	468	7904
56	472	7825
57	477	7761
58	481	7672
59	484	7587
60	488	7525
61	493	7460
62	497	7395
63	501	7333
64	505	7267
65	509	7204
66	513	7145
67	519	7124
68	526	7106
69	534	7107
70	546	7156
71	556	7177
72	566	7190
73	572	7168
74	578	7135
75	583	7099
76	590	7078
77	595	7039
78	600	7004
79	607	6985
80	613	6957
81	617	6913
82	624	6895
83	630	6870
84	636	6854
85	643	6841
86	648	6805
87	652	6763
88	656	6721
89	660	6680
90	664	6636
91	667	6591
92	671	6553
93	676	6519
94	679	6473
95	683	6435
96	687	6396
97	690	6350
98	693	6312
99	705	6349
100	709	6314
101	712	6270
102	715	6232
103	719	6197
104	722	6158
105	726	6126
106	729	6092
107	734	6066
108	739	6043
109	742	6009
110	747	5985
111	751	5958
112	756	5936
113	760	5912
114	765	5890
115	769	5863
116	774	5844
117	778	5819
118	783	5802
119	788	5781
120	792	5759
121	797	5737
122	801	5711
123	805	5692
124	809	5668
125	813	5642
126	817	5620
127	822	5605
128	827	5587
129	830	5560
130	835	5541
131	840	5524
132	844	5503
133	847	5476
134	852	5461
135	856	5442
136	861	5427
137	866	5412
138	871	5397
139	874	5373
140	879	5360
141	884	5345
142	889	5331
143	894	5318
144	899	5305
145	904	5288
146	909	5275
147	914	5263
148	919	5250
149	922	5229
150	925	5202
151	930	5188
152	935	5177
153	938	5157
154	943	5145
155	948	5132
156	952	5112
157	955	5090
158	958	5070
159	962	5054
160	967	5043
161	971	5027
162	977	5018
163	981	5003
164	984	4982
165	989	4969
166	993	4957
167	998	4945
168	1002	4928
169	1006	4915
170	1011	4905
171	1016	4894
172	1018	4869
173	1022	4855
174	1025	4835
175	1029	4821
176	1033	4803
177	1036	4786
178	1039	4768
179	1043	4754
180	1048	4742
181	1051	4727
182	1055	4712
183	1060	4702
184	1065	4691
185	1068	4675
186	1071	4658
187	1074	4642
188	1078	4629
189	1082	4613
190	1086	4600
191	1089	4585
192	1092	4568
193	1096	4554
194	1100	4541
195	1104	4530
196	1109	4520
197	1113	4510
198	1118	4500
199	1122	4490
200	1126	4479
201	1130	4466
202	1134	4453
203	1138	4443
204	1142	4432
205	1146	4419
206	1150	4406
207	1154	4397
208	1158	4385
209	1162	4373
210	1167	4366
211	1173	4363
212	1177	4351
213	1182	4342
214	1186	4332
215	1190	4319
216	1194	4309
217	1198	4300
218	1203	4292
219	1207	4281
220	1212	4273
221	1216	4264
222	1220	4252
223	1224	4240
224	1228	4231
225	1232	4219
226	1236	4211
227	1241	4202
228	1245	4193
229	1249	4182
230	1253	4173
231	1257	4164
232	1261	4153
233	1266	4145
234	1271	4139
235	1275	4128
236	1279	4118
237	1283	4110
