iter	Logloss
0	0.6928485107
1	0.6924290466
2	0.6918630219
3	0.6915386963
4	0.6909896088
5	0.6906037903
6	0.6900341797
7	0.6895052338
8	0.6890289307
9	0.6886827087
10	0.6880242157
11	0.687917099
12	0.6875187683
13	0.6868415833
14	0.6863844299
15	0.6857394409
16	0.6855657959
17	0.6851265717
18	0.6847386932
19	0.6844447327
20	0.6840372467
21	0.6838051605
22	0.6834309387
23	0.6830688477
24	0.6827041626
25	0.6823703766
26	0.6818112183
27	0.6813508606
28	0.6811196899
29	0.6807171631
30	0.6802483368
31	0.6798836517
32	0.6793760681
33	0.6790450287
34	0.6787290192
35	0.6783348083
36	0.6777944183
37	0.6774034882
38	0.6772264099
39	0.6769615173
40	0.6763330078
41	0.6758703613
42	0.6755030823
43	0.6749969482
44	0.6747134399
45	0.6742276001
46	0.6736862183
47	0.6733529663
48	0.6729953003
49	0.6725974274
50	0.6720675659
51	0.671650238
52	0.6712841797
53	0.6708946228
54	0.6705569458
55	0.6700758362
56	0.6698519897
57	0.6694419861
58	0.6691685486
59	0.6685752869
60	0.6682952881
61	0.6680250549
62	0.6676526642
63	0.6672280884
64	0.666907959
65	0.6666020203
66	0.6662519836
67	0.6660420227
68	0.6657208252
69	0.6653770447
70	0.6649433899
71	0.664574585
72	0.6642162323
73	0.6637782288
74	0.6634499359
75	0.662953949
76	0.6625721741
77	0.6621409607
78	0.6618219757
79	0.6614161682
80	0.6610707855
81	0.6607319641
82	0.6603154755
83	0.6599127197
84	0.6595962524
85	0.6589987183
86	0.6585328674
87	0.6584585571
88	0.6580889893
89	0.6576771545
90	0.6571496582
91	0.6567434692
92	0.6562445068
93	0.6557873535
94	0.6552909851
95	0.6548953247
96	0.6544931793
97	0.6540363312
98	0.6536131287
99	0.6532087708
