iter	Passed	Remaining
0	4	441
1	8	428
2	12	412
3	16	403
4	20	390
5	24	388
6	28	383
7	33	384
8	37	378
9	41	375
10	45	370
11	46	343
12	51	341
13	55	339
14	59	339
15	64	337
16	65	318
17	69	316
18	73	314
19	77	310
20	81	307
21	82	294
22	86	290
23	91	288
24	95	286
25	99	284
26	104	282
27	108	279
28	112	274
29	115	270
30	120	267
31	124	264
32	128	261
33	132	257
34	137	254
35	141	252
36	146	249
37	151	246
38	155	243
39	160	241
40	165	237
41	169	234
42	174	231
43	179	228
44	184	225
45	189	222
46	193	217
47	197	214
48	202	210
49	206	206
50	211	203
51	216	199
52	221	196
53	225	192
54	229	187
55	233	183
56	237	179
57	241	174
58	245	170
59	248	165
60	252	161
61	256	157
62	260	152
63	264	148
64	268	144
65	273	140
66	277	136
67	281	132
68	285	128
69	290	124
70	293	120
71	297	115
72	301	111
73	305	107
74	309	103
75	313	99
76	317	94
77	321	90
78	326	86
79	329	82
80	334	78
81	338	74
82	342	70
83	346	66
84	350	61
85	354	57
86	358	53
87	359	48
88	363	44
89	367	40
90	370	36
91	374	32
92	378	28
93	382	24
94	386	20
95	390	16
96	394	12
97	397	8
98	401	4
99	405	0
